game,arm,rewardArm,expiryArm,turn,level,lives,gold,score,tier,adId,message,reward,expiresIn,success
0,NONE,NA,EXPIRING,45,0,2,1304,1604,"Playing with fire","ALNSNU7w","Help defending savannah in Whitehill from the intruders",78,1,true
0,NONE,NA,NA,46,0,2,1382,1682,"Piece of cake","TogrZXCK","Help defending village in Snowpool from the intruders",81,4,true
0,NONE,NA,NA,47,0,2,1463,1763,"Piece of cake","nnev9aG0","Help defending church in Northburg from the intruders",94,4,true
0,NONE,NA,EXPIRING,48,0,2,1557,1857,"Suicide mission","u0eyx28J","Help defending grassland in Snowcawl from the intruders",63,1,false
1,NONE,NA,NA,0,0,3,0,0,"Piece of cake","1WLv1aOn","Help Moran Carlyle to write their biographical novel about their difficulties with a deranged water",36,7,true
1,NONE,NA,NA,1,0,3,36,36,"Sure thing","VFI6nvcG","Escort Hyledd Suggitt to steppe in Bleakchester where they can meet with their long lost horse",65,7,true
1,NONE,NA,NA,2,0,3,101,101,"Piece of cake","4D8PvRlc","Help Tammie Horsfall to sell an unordinary potatoes on the local market",23,5,true
1,NONE,NA,NA,3,0,3,124,124,"Piece of cake","8ssyiwid","Steal horse delivery to Cullen Delaney and share some of the profits with the people.",47,4,true
1,NONE,NA,NA,4,0,3,171,171,"Piece of cake","DT6uQxPr","Help Hasan Gladwyn to write their biographical novel about their difficulties with a deranged water",35,7,true
1,NONE,NA,NA,5,0,3,206,206,"Piece of cake","HlYx9d74","Create an advertisement campaign for Maximiano Huldudóttir to promote their beer mug based business",23,2,true
1,NONE,NA,EXPIRING,6,0,3,229,229,"Walk in the park","Sq8Mkm9W","Help Mahdi Marshall to sell an unordinary bucket on the local market",23,1,true
1,NONE,NA,NA,7,0,3,252,252,"Sure thing","Z1S4SWBH","Help Nassim Davison to reach an agreement with Scarlett Donalds on the matters of disputed cat",10,7,true
1,NONE,NA,EXPIRING,8,0,3,262,262,"Quite likely","KyNSgntc","Help Désirée Bullard to write their biographical novel about their difficulties with a deranged beer mug",24,1,false
1,NONE,NA,EXPIRING,9,0,2,262,262,"Walk in the park","V6xriMoQ","Escort Veceslav Wild to field in Whitemoore where they can meet with their long lost pan",66,1,true
1,NONE,NA,NA,10,0,2,328,328,"Piece of cake","0kf3MOfX","Help Tamra Nathanson to sell an unordinary weed on the local market",25,4,true
1,NONE,NA,NA,11,0,2,353,353,"Sure thing","5IFAJG4p","Steal chicken delivery to Chryssa Bellamy and share some of the profits with the people.",65,7,true
1,NONE,NA,NA,12,0,2,418,418,"Sure thing","rLU7m6s1","Help Donovan English to sell an unordinary chicken on the local market",28,7,true
1,NONE,NA,EXPIRING,13,0,2,446,446,"Piece of cake","SZslqgHN","Help Randúlfr Nicolson to sell an unordinary cat on the local market",17,1,true
1,NONE,NA,NA,14,0,2,463,463,"Piece of cake","N9UFJbQq","Create an advertisement campaign for Nando Hudnall to promote their wagon based business",39,7,true
1,NONE,NA,FRESH,15,0,2,502,502,"Walk in the park","b0wXms6U","Create an advertisement campaign for Håvard Elliott to promote their potatoes based business",33,6,true
1,NONE,NA,FRESH,16,0,2,535,535,"Walk in the park","JB8ec5MK","Steal pot delivery to Zinaida Trueman and share some of the profits with the people.",47,3,true
1,NONE,NA,NA,17,0,2,582,582,"Sure thing","2qwOxhUu","Steal pot delivery to Hafza Mathewson and share some of the profits with the people.",41,5,true
1,NONE,NA,NA,18,0,2,623,623,"Piece of cake","VmC253eE","Steal house delivery to Prasad Stephenson and share some of the profits with the people.",64,3,true
1,NONE,NA,EXPIRING,19,0,2,687,687,"Rather detrimental","3ttboY1Z","Investigate Ella Sanford and find out their relation to the magic potatoes.",117,1,true
1,NONE,NA,FRESH,20,0,2,804,804,"Piece of cake","oOqjl668","Escort Bryanne Sniders to peninsula in Fangcrest where they can meet with their long lost pot",70,6,true
1,NONE,NA,FRESH,21,0,2,874,874,"Gamble","g5ORhESK","Escort Noelani Wallace to pasture in Lowecawl where they can meet with their long lost pot",69,6,true
1,NONE,NA,EXPIRING,22,0,2,943,943,"Suicide mission","k8nzE1bW","Investigate Huitzilopochtli Christinsen and find out their relation to the magic chariot.",133,1,false
1,NONE,NA,EXPIRING,24,0,2,893,943,"Piece of cake","dYoq0K84","Help Aarti Eymor to write their biographical novel about their difficulties with a deranged chariot",28,1,true
1,NONE,NA,EXPIRING,25,0,2,921,971,"Sure thing","hW1oQtYB","Steal super awesome diamond weed from Florus Stephens",172,1,false
1,NONE,NA,FRESH,27,0,2,871,971,"Piece of cake","BEON2Npj","Help defending plains in Masonpine from the intruders",116,5,true
1,NONE,NA,NA,28,0,2,987,1087,"Sure thing","fzi0whvK","Help defending savannah in Eastpine from the intruders",93,3,true
1,NONE,NA,NA,29,0,2,1080,1180,"Piece of cake","rtUbKud9","Help defending pasture in Newgill from the intruders",114,1,true
1,NONE,NA,FRESH,30,0,2,1194,1294,"Suicide mission","ZXhqCQyL","Investigate Konstanze Horsfall and find out their relation to the magic potatoes.",117,3,false
1,NONE,NA,NA,32,0,2,1144,1294,"Piece of cake","RjYZCRVC","Help defending steppe in Eastport from the intruders",116,6,true
1,NONE,NA,NA,33,0,2,1260,1410,"Walk in the park","VZECjT8T","Help defending plains in Blacksheen from the intruders",94,2,true
1,NONE,NA,NA,34,0,2,1354,1504,"Quite likely","0PXWuiVn","Help defending grassland in Blooddeen from the intruders",105,7,true
1,NONE,NA,FRESH,35,0,2,1459,1609,"Quite likely","iDRCCxrh","Help defending field in Whitewhyte from the intruders",100,4,false
1,NONE,NA,NA,37,0,2,1409,1609,"Piece of cake","0RhjAzoh","Help defending field in Fernfair from the intruders",89,5,true
1,NONE,NA,NA,38,0,2,1498,1698,"Piece of cake","NU6zSxhm","Help defending thrift shoppe in Ferngannon from the intruders",96,4,true
1,NONE,NA,NA,39,0,2,1594,1794,"Piece of cake","oFq8tjjT","Help defending village in Highbane from the intruders",88,4,true
1,NONE,NA,FRESH,40,0,2,1682,1882,"Playing with fire","cwSJHs5A","Help defending steppe in Westmire from the intruders",62,7,false
1,NONE,NA,EXPIRING,42,0,2,1632,1882,"Hmmm....","QsSSPbDq","Help defending steppe in Whitetown from the intruders",74,1,true
1,NONE,NA,NA,43,0,2,1706,1956,"Piece of cake","WtPYx8xN","Help defending field in Eastpool from the intruders",69,5,true
1,NONE,NA,NA,44,0,2,1775,2025,"Walk in the park","7nUYiNQv","Help defending steppe in Fernpine from the intruders",80,1,true
1,NONE,NA,FRESH,45,0,2,1855,2105,"Hmmm....","O0rPnZln","Help defending steppe in Oldkeep from the intruders",81,5,false
1,NONE,NA,FRESH,47,0,2,1805,2105,"Risky","UQWmBKTW","Help defending cave in Ridgemere from the intruders",68,5,true
1,NONE,NA,FRESH,48,0,2,1873,2173,"Rather detrimental","zrjRXYE1","Help defending thicket in Metalford from the intruders",96,7,false
2,NONE,NA,NA,0,0,3,0,0,"Piece of cake","Heg4lKfa","Help Amando Kjartansdóttir to sell an unordinary chicken on the local market",24,7,true
2,NONE,NA,NA,1,0,3,24,24,"Piece of cake","gtjjUXdq","Help Adolfito Hallman to sell an unordinary pan on the local market",23,6,true
2,NONE,NA,NA,2,0,3,47,47,"Piece of cake","j0ushWRa","Steal chicken delivery to Murtagh Breckenridge and share some of the profits with the people.",56,5,true
2,NONE,NA,NA,3,0,3,103,103,"Piece of cake","l35TVREU","Help Rei Newport to reach an agreement with Edelmiro Christison on the matters of disputed clothes",2,4,true
2,NONE,NA,NA,4,0,3,105,105,"Piece of cake","DQkfzrCv","Steal dog delivery to Klaudio Perkins and share some of the profits with the people.",59,7,true
2,NONE,NA,NA,5,0,3,164,164,"Piece of cake","miNLqpXk","Help Yorath Endicott to clean their potatoes",6,2,true
2,NONE,NA,FRESH,6,0,3,170,170,"Walk in the park","P8Z2pSHJ","Help Itamar Traylor to reach an agreement with Erland Sigurðdóttir on the matters of disputed bucket",15,7,true
2,NONE,NA,NA,7,0,3,185,185,"Piece of cake","Zb6jmPnD","Steal water delivery to Nicol Jeffries and share some of the profits with the people.",62,7,true
2,NONE,NA,FRESH,8,0,3,247,247,"Walk in the park","5CxiBEUe","Create an advertisement campaign for Gertie Winchester to promote their sheep based business",34,6,true
2,NONE,NA,EXPIRING,9,0,3,281,281,"Quite likely","neCKBMe2","Help Behnam Russell to fix their horse",3,1,true
2,NONE,NA,NA,10,0,3,284,284,"Sure thing","mX2A76qk","Help Cleophas Howland to reach an agreement with Mojisola Isaacson on the matters of disputed beer mug",10,6,true
2,NONE,NA,FRESH,11,0,3,294,294,"Quite likely","s9wjEWKi","Help Afanasiy Wardrobe to reach an agreement with Phinehas Gardiner on the matters of disputed clothes",10,4,false
2,NONE,NA,NA,12,0,2,294,294,"Piece of cake","12ovq5gK","Create an advertisement campaign for Ion Marlowe to promote their squirrel based business",20,6,true
2,NONE,NA,FRESH,13,0,2,314,314,"Piece of cake","cwZNB6ov","Steal squirrel delivery to Junia Collins and share some of the profits with the people.",52,7,true
2,NONE,NA,FRESH,14,0,2,366,366,"Piece of cake","MhFzU8Sp","Create an advertisement campaign for Basmath Albertson to promote their pan based business",30,5,true
2,NONE,NA,EXPIRING,15,0,2,396,396,"Piece of cake","6V9mJL2t","Steal sheep delivery to Amabel Attwater and share some of the profits with the people.",70,1,true
2,NONE,NA,NA,16,0,2,466,466,"Piece of cake","aS5l25BE","Escort Toril Ellsworth to meadow in Lightheart where they can meet with their long lost bucket",68,3,true
2,NONE,NA,NA,17,0,2,534,534,"Sure thing","EXiohBXG","Steal super awesome diamond bucket from Bennie Atterberry",163,7,false
2,NONE,NA,NA,19,0,2,484,534,"Piece of cake","kRAdoilz","Steal sheep delivery to Arto Ásmundsson and share some of the profits with the people.",63,3,true
2,NONE,NA,EXPIRING,20,0,2,547,597,"Risky","5imruspP","Help Siôr Leighton to write their biographical novel about their difficulties with a deranged potatoes",35,1,true
2,NONE,NA,FRESH,21,0,2,582,632,"Hmmm....","gWowVMxc","Escort Brennan Roberts to field in Redscale where they can meet with their long lost pan",47,3,true
2,NONE,NA,NA,22,0,2,629,679,"Sure thing","9TVGX0V7","Steal super awesome diamond house from Ermingard Marlowe",170,6,false
2,NONE,NA,NA,24,0,2,579,679,"Sure thing","JVCHmtG6","Steal super awesome diamond horse from Bertalan Paternoster",177,4,false
2,NONE,NA,NA,26,0,2,529,679,"Sure thing","GFgvXrbQ","Steal super awesome diamond squirrel from Sílvia Sanders",204,6,false
2,NONE,NA,NA,28,0,2,479,679,"Piece of cake","9djy6f9B","Steal super awesome diamond pan from Cortney Leighton",155,4,false
2,NONE,NA,EXPIRING,30,0,2,429,679,"Gamble","zSlRTWcL","Infiltrate The Azure Ghosts and recover their secrets.",117,1,true
2,NONE,NA,NA,31,0,2,546,796,"Piece of cake","OnOFOzAb","Steal super awesome diamond beer mug from Ermo Jónsson",164,7,false
2,NONE,NA,NA,33,0,2,496,796,"Piece of cake","bEgI2Yj3","Steal super awesome diamond beer mug from Gomer Gibbons",176,2,false
2,NONE,NA,FRESH,35,0,2,446,796,"Risky","lXbn9m27","Help defending peninsula in Burnsdale from the intruders",80,4,true
2,NONE,NA,FRESH,36,0,2,526,876,"Piece of cake","piE37hmb","Steal super awesome diamond weed from Chiyembekezo Chambers",147,7,false
2,NONE,NA,NA,38,0,2,476,876,"Piece of cake","q59Pjbbk","Help defending thrift shoppe in Sharpchester from the intruders",102,4,true
2,NONE,NA,FRESH,39,0,2,578,978,"Gamble","BH9C39eA","Help defending plains in Ravenchester from the intruders",84,4,false
2,NONE,NA,NA,41,0,2,528,978,"Piece of cake","9iQAGSkw","Steal super awesome diamond dog from Jung-hee Addison",177,6,false
2,NONE,NA,FRESH,43,0,2,478,978,"Walk in the park","SQbJ2GIr","Help defending grassland in Whitebury from the intruders",73,7,true
2,NONE,NA,NA,44,0,2,551,1051,"Sure thing","4SgY5jvI","Steal super awesome diamond water from Coy Hibbert",195,5,false
2,NONE,NA,EXPIRING,46,0,2,501,1051,"Rather detrimental","pMaLIwV6","Help defending grassland in Penport from the intruders",81,1,false
2,NONE,NA,FRESH,48,0,2,451,1051,"Sure thing","pAUsicHr","Steal super awesome diamond clothes from Viviette Simpson",146,6,false
3,NONE,NA,NA,0,0,3,0,0,"Sure thing","VjslvN67","Steal horse delivery to Agner Ecclestone and share some of the profits with the people.",58,7,true
3,NONE,NA,NA,1,0,3,58,58,"Piece of cake","rABhMEWy","Steal bucket delivery to Mansel Kitchens and share some of the profits with the people.",66,6,true
3,NONE,NA,NA,2,0,3,124,124,"Sure thing","y8UXwQ5L","Steal clothes delivery to Drousilla Merrill and share some of the profits with the people.",62,7,true
3,NONE,NA,NA,3,0,3,186,186,"Piece of cake","xYkW97Sq","Steal cat delivery to Cenk Martell and share some of the profits with the people.",72,4,true
3,NONE,NA,NA,4,0,3,258,258,"Walk in the park","JbveQFgz","Help Zerachiel Sigurðardóttir to transport a magic weed to pasture in Fallmountain",28,3,true
3,NONE,NA,NA,5,0,3,286,286,"Walk in the park","VZkKInjo","Escort Thoukydides Griffin to pasture in Voidwatch where they can meet with their long lost pan",53,2,true
3,NONE,NA,EXPIRING,6,0,3,339,339,"Quite likely","Cfsq8tIp","Create an advertisement campaign for Aindréas Ólafsson to promote their wagon based business",23,1,true
3,NONE,NA,FRESH,7,0,3,362,362,"Hmmm....","81OkX9zy","Help Fereydoun Blackbourne to write their biographical novel about their difficulties with a deranged sheep",33,7,true
3,NONE,NA,NA,8,0,3,395,395,"Sure thing","hJndujIs","Help Lir Breckenridge to sell an unordinary chicken on the local market",24,5,true
3,NONE,NA,NA,9,0,3,419,419,"Piece of cake","R9pS8CZi","Help Rasim Marchand to reach an agreement with Kenelm Wheelock on the matters of disputed sheep",7,6,true
3,NONE,NA,NA,10,0,3,426,426,"Piece of cake","2HvuA9be","Steal cat delivery to Tamir Studwick and share some of the profits with the people.",45,7,true
3,NONE,NA,NA,11,0,3,471,471,"Piece of cake","Sy5sID3f","Help Amarachi Fletcher to transport a magic beer mug to plains in Blackpool",14,5,true
3,NONE,NA,NA,12,0,3,485,485,"Piece of cake","TZJDBDQD","Steal turnips delivery to Rubena Chadwick and share some of the profits with the people.",65,6,true
3,NONE,NA,FRESH,13,0,3,550,550,"Walk in the park","Wcjy6uKw","Escort Lianne Sowards to peninsula in Masonfirth where they can meet with their long lost clothes",65,6,true
3,NONE,NA,EXPIRING,14,0,3,615,615,"Walk in the park","IMRi2N1U","Escort Tollak Dickinson to meadow in Easttown where they can meet with their long lost squirrel",68,1,true
3,NONE,NA,NA,15,0,3,683,683,"Sure thing","JjFzzLVd","Steal pot delivery to Eskarne Botwright and share some of the profits with the people.",62,6,true
3,NONE,NA,FRESH,16,0,3,745,745,"Walk in the park","bueqV4cH","Investigate Rozália Blakesley and find out their relation to the magic pan.",123,3,true
3,NONE,NA,NA,17,0,3,868,868,"Sure thing","iehy9aWy","Steal super awesome diamond horse from Báirbre Collingwood",165,4,false
3,NONE,NA,FRESH,18,0,2,868,868,"Quite likely","iIN7xK2C","Create an advertisement campaign for Petunia Haroldson to promote their sheep based business",28,6,true
3,NONE,NA,NA,19,0,2,896,896,"Sure thing","9RmaXRfb","Steal super awesome diamond clothes from Parker Huldudóttir",173,7,false
3,NONE,NA,NA,21,0,2,846,896,"Sure thing","9VoaIpiu","Steal super awesome diamond wagon from Jeunesse Thomson",146,7,false
3,NONE,NA,FRESH,23,0,2,796,896,"Quite likely","3pQXeZK5","Escort Seward Courtney to pasture in Millerwell where they can meet with their long lost horse",65,4,true
3,NONE,NA,EXPIRING,24,0,2,861,961,"Hmmm....","X8u52ztN","Escort Johanneke Allaire to savannah in Ridgebane where they can meet with their long lost pan",49,1,false
3,NONE,NA,EXPIRING,26,0,2,811,961,"Suicide mission","Sqo4equY","Investigate Evžen Daubney and find out their relation to the magic turnips.",118,1,false
3,NONE,NA,FRESH,28,0,2,761,961,"Sure thing","G5UW9Wb6","Steal super awesome diamond turnips from Osanne Summerfield",152,7,false
3,NONE,NA,FRESH,30,0,2,711,961,"Suicide mission","X4uqifcg","Help defending plains in Oldwhyte from the intruders",101,4,false
3,NONE,NA,EXPIRING,32,0,2,661,961,"Piece of cake","3ESNznUA","Help defending plains in Penpine from the intruders",128,1,true
3,NONE,NA,NA,33,0,2,789,1089,"Piece of cake","0AV1lXOZ","Help defending savannah in Orrinmere from the intruders",106,3,true
3,NONE,NA,NA,34,0,2,895,1195,"Walk in the park","f5QW6DmQ","Help defending plains in Everwater from the intruders",102,3,true
3,NONE,NA,EXPIRING,35,0,2,997,1297,"Hmmm....","xhzjqYXg","Help defending steppe in Newspring from the intruders",80,1,false
3,NONE,NA,NA,37,0,2,947,1297,"Sure thing","h702WwlH","Steal super awesome diamond cat from Anisha Thwaite",162,6,false
3,NONE,NA,NA,39,0,2,897,1297,"Sure thing","nwB9v75Y","Steal super awesome diamond sheep from Borys Braddock",143,4,false
3,NONE,NA,FRESH,41,0,2,847,1297,"Rather detrimental","7TEAyXXR","Help defending field in Towerpool from the intruders",64,4,true
3,NONE,NA,EXPIRING,42,0,2,911,1361,"Sure thing","uokJlb8S","Steal super awesome diamond chariot from Freda Davison",168,1,false
3,NONE,NA,NA,44,0,2,861,1361,"Sure thing","7slxpqUp","Steal super awesome diamond turnips from Morpheus Roberts",181,6,false
3,NONE,NA,FRESH,46,0,2,811,1361,"Suicide mission","C4LDsSkS","Help defending peninsula in Newhill from the intruders",59,3,false
3,NONE,NA,NA,48,0,2,761,1361,"Sure thing","pnX41FVw","Steal super awesome diamond dog from Noela Snelling",184,6,false
4,NONE,NA,NA,0,0,3,0,0,"Sure thing","4lyFxGJi","Help Wawrzyniec Hepburn to clean their cat",4,7,true
4,NONE,NA,NA,1,0,3,4,4,"Sure thing","kBaYpGN6","Help Harding Nicholson to transport a magic cat to savannah in Fallfirth",6,6,true
4,NONE,NA,NA,2,0,3,10,10,"Piece of cake","9GmZoSTZ","Steal dog delivery to Athene Elliott and share some of the profits with the people.",39,5,true
4,NONE,NA,NA,3,0,3,49,49,"Piece of cake","DtUlsMBw","Help Shalev Barrett to sell an unordinary turnips on the local market",32,5,true
4,NONE,NA,NA,4,0,3,81,81,"Piece of cake","KJgxbRSl","Help Nabu Wilkerson to sell an unordinary squirrel on the local market",28,3,true
4,NONE,NA,NA,5,0,3,109,109,"Piece of cake","fnoRNDW0","Help Patrizio Sinclair to reach an agreement with Zlata Butcher on the matters of disputed potatoes",12,2,true
4,NONE,NA,NA,6,0,3,121,121,"Quite likely","U7I2vrCa","Help Mckenna Ódinsson to write their biographical novel about their difficulties with a deranged squirrel",41,6,true
4,NONE,NA,NA,7,0,3,162,162,"Piece of cake","4vAuUHq8","Help Abiram Wilkins to transport a magic chariot to steppe in Eastbane",13,7,true
4,NONE,NA,FRESH,8,0,3,175,175,"Quite likely","ZEutgojK","Help Tyler Carpenter to transport a magic pot to savannah in Westshore",4,3,true
4,NONE,NA,NA,9,0,3,179,179,"Piece of cake","ZgA9JLZl","Help Ainslie Underwood to reach an agreement with Ernest Gabrielson on the matters of disputed squirrel",15,5,true
4,NONE,NA,NA,10,0,3,194,194,"Sure thing","o2IRocrF","Escort Hylda Giffard to field in Masonwatch where they can meet with their long lost bucket",55,7,true
4,NONE,NA,NA,11,0,3,249,249,"Piece of cake","WeJljQih","Steal cat delivery to Publius Honeycutt and share some of the profits with the people.",55,6,true
4,NONE,NA,NA,12,0,3,304,304,"Piece of cake","c3i8GhAE","Create an advertisement campaign for Oana Sampson to promote their beer mug based business",28,2,false
4,NONE,NA,FRESH,13,0,2,304,304,"Risky","wErB5nZi","Create an advertisement campaign for Stefánia Morison to promote their sheep based business",32,7,false
4,NONE,NA,EXPIRING,15,0,2,254,304,"Walk in the park","JKqP0UMI","Escort Kayin Erickson to savannah in Millerbury where they can meet with their long lost house",90,1,true
4,NONE,NA,NA,16,0,2,344,394,"Sure thing","J4B3YGan","Steal wagon delivery to Ransu Hlöðversdóttir and share some of the profits with the people.",58,5,true
4,NONE,NA,NA,17,0,2,402,452,"Piece of cake","1dv1Z5Cy","Escort Severi Courtier to savannah in Towerhill where they can meet with their long lost bucket",76,6,true
4,NONE,NA,EXPIRING,18,0,2,478,528,"Walk in the park","UQQq14Rq","Create an advertisement campaign for Golbahar Arterbury to promote their dog based business",36,1,true
4,NONE,NA,NA,19,0,2,514,564,"Piece of cake","62HyC5kb","Steal turnips delivery to Daley Readdie and share some of the profits with the people.",54,1,true
4,NONE,NA,EXPIRING,20,0,2,568,618,"Piece of cake","Yi0alyWJ","Create an advertisement campaign for Neemias Dingfelder to promote their turnips based business",28,1,true
4,NONE,NA,EXPIRING,21,0,2,596,646,"Risky","e1FPlN67","Escort Toria Wortham to savannah in Redfair where they can meet with their long lost weed",57,1,true
4,NONE,NA,NA,22,0,2,653,703,"Piece of cake","P2q4CBK8","Escort Min-jun Gladwin to thrift shoppe in Fangheart where they can meet with their long lost potatoes",59,5,true
4,NONE,NA,NA,23,0,2,712,762,"Piece of cake","Z6icy2dP","Escort Ignacy Caldwell to savannah in Razorgill where they can meet with their long lost pan",43,6,true
4,NONE,NA,EXPIRING,24,0,2,755,805,"Rather detrimental","ia82uUpg","Help Ananta Winterbottom to write their biographical novel about their difficulties with a deranged wagon",37,1,false
4,NONE,NA,EXPIRING,26,0,2,705,805,"Walk in the park","8KU8A0SX","Investigate Dina Woodcock and find out their relation to the magic weed.",142,1,true
4,NONE,NA,FRESH,27,0,2,847,947,"Walk in the park","D3oHfyDz","Escort Jasmijn Queshire to steppe in Fanghill where they can meet with their long lost chicken",72,4,true
4,NONE,NA,NA,28,0,2,919,1019,"Sure thing","UgCSaKYI","Help defending grassland in Strongfirth from the intruders",103,7,true
4,NONE,NA,NA,29,0,2,1022,1122,"Quite likely","MYqSJwxE","Escort Samuli Benjaminson to meadow in Razorcaster where they can meet with their long lost pan",58,2,true
4,NONE,NA,EXPIRING,30,0,2,1080,1180,"Suicide mission","B5bnCYiy","Kill Friduric Gardner with house and make Lynne Winston from palace in Orrinfair to take the blame",116,1,false
4,NONE,NA,NA,32,0,2,1030,1180,"Piece of cake","AdE0jiHT","Help defending grassland in Westwatch from the intruders",95,5,true
