game,arm,turn,level,lives,gold,score,tier,reward,expiresIn,success
3,NONE,14,0,2,169,269,"Risky",50,7,false
3,NONE,16,0,2,119,269,"Risky",37,6,true
3,NONE,17,0,2,156,306,"Gamble",66,4,false
3,NONE,19,0,2,106,306,"Walk in the park",55,3,true
3,NONE,20,0,2,161,361,"Hmmm....",74,7,true
3,NONE,21,0,2,235,435,"Piece of cake",69,7,true
3,NONE,22,0,2,304,504,"Gamble",68,7,false
3,NONE,24,0,2,254,504,"Risky",61,7,true
3,NONE,25,0,2,315,565,"Risky",134,3,false
3,NONE,27,0,2,265,565,"Quite likely",94,6,true
3,NONE,28,0,2,359,659,"Risky",95,7,false
3,NONE,30,0,2,309,659,"Risky",105,7,false
3,NONE,32,0,2,259,659,"Hmmm....",106,5,true
3,NONE,33,0,2,365,765,"Rather detrimental",115,3,true
3,NONE,34,0,2,480,880,"Hmmm....",90,5,false
3,NONE,36,0,2,430,880,"Hmmm....",98,6,false
3,NONE,38,0,2,380,880,"Gamble",96,4,false
3,NONE,40,0,2,330,880,"Hmmm....",82,5,true
3,NONE,41,0,2,412,962,"Risky",90,7,true
3,NONE,42,0,2,502,1052,"Risky",79,6,true
3,NONE,43,0,2,581,1131,"Hmmm....",110,7,false
3,NONE,45,0,2,531,1131,"Hmmm....",84,6,false
3,NONE,47,0,2,481,1131,"Risky",67,7,true
3,NONE,48,0,2,548,1198,"Hmmm....",81,4,true
3,NONE,49,0,2,629,1279,"Risky",89,7,false
4,NONE,0,0,3,0,0,"Rather detrimental",24,7,false
4,NONE,1,0,2,0,0,"Gamble",34,6,true
4,NONE,2,0,2,34,34,"Gamble",29,5,true
4,NONE,3,0,2,63,63,"Quite likely",44,4,true
4,NONE,4,0,2,107,107,"Quite likely",33,6,false
4,NONE,6,0,2,57,107,"Quite likely",13,6,true
4,NONE,7,0,2,70,120,"Gamble",35,7,true
4,NONE,8,0,2,105,155,"Hmmm....",61,7,true
4,NONE,9,0,2,166,216,"Hmmm....",29,5,false
4,NONE,11,0,2,116,216,"Gamble",31,6,true
4,NONE,12,0,2,147,247,"Risky",15,7,false
4,NONE,14,0,2,97,247,"Risky",21,6,false
4,NONE,16,0,2,47,247,"Gamble",72,7,false
4,NONE,17,0,1,47,247,"Gamble",138,3,false
5,FAST,0,0,3,0,0,"Quite likely",58,7,false
5,FAST,1,0,2,0,0,"Risky",45,6,false
5,FAST,2,0,1,0,0,"Risky",79,7,true
5,FAST,4,0,2,29,79,"Risky",37,3,false
5,FAST,5,0,1,29,79,"Gamble",31,3,true
5,FAST,7,0,2,10,110,"Hmmm....",31,7,false
5,FAST,8,0,1,10,110,"Rather detrimental",61,7,false
6,FAST,0,0,3,0,0,"Hmmm....",37,7,true
6,FAST,1,0,3,37,37,"Risky",36,6,false
6,FAST,2,0,2,37,37,"Hmmm....",25,7,false
6,FAST,3,0,1,37,37,"Gamble",45,4,true
6,FAST,5,0,2,32,82,"Gamble",40,5,false
6,FAST,6,0,1,32,82,"Piece of cake",6,5,true
6,FAST,7,0,1,38,88,"Quite likely",47,7,true
6,FAST,9,0,2,35,135,"Gamble",29,6,false
6,FAST,10,0,1,35,135,"Gamble",37,7,false
7,FAST,0,0,3,0,0,"Quite likely",33,7,true
7,FAST,1,0,3,33,33,"Quite likely",29,6,true
7,FAST,2,0,3,62,62,"Sure thing",49,5,true
7,FAST,4,1,3,11,111,"Sure thing",8,3,true
7,FAST,5,1,3,19,119,"Piece of cake",12,3,true
7,FAST,6,1,3,31,131,"Piece of cake",8,3,true
7,FAST,7,1,3,39,139,"Risky",21,7,false
7,FAST,8,1,2,39,139,"Hmmm....",29,6,false
7,FAST,9,1,1,39,139,"Hmmm....",14,6,true
7,FAST,11,1,2,3,153,"Quite likely",70,3,true
7,FAST,12,1,2,73,223,"Risky",79,7,true
7,FAST,14,2,2,52,302,"Rather detrimental",47,7,false
7,FAST,16,2,2,2,302,"Risky",42,4,true
7,FAST,17,2,2,44,344,"Quite likely",23,4,true
7,FAST,18,2,2,67,367,"Risky",37,7,true
7,FAST,20,3,2,4,404,"Quite likely",70,7,true
7,FAST,21,3,2,74,474,"Risky",202,3,true
7,FAST,24,5,2,76,676,"Hmmm....",50,7,true
7,FAST,26,6,2,26,726,"Quite likely",48,7,true
7,FAST,27,6,2,74,774,"Piece of cake",147,5,true
7,FAST,28,6,2,221,921,"Rather detrimental",242,3,false
7,FAST,30,6,2,171,921,"Quite likely",182,7,true
7,FAST,31,6,2,353,1103,"Quite likely",170,6,true
7,FAST,32,6,2,523,1273,"Rather detrimental",237,3,false
7,FAST,34,6,2,473,1273,"Gamble",162,6,true
7,FAST,35,6,2,635,1435,"Rather detrimental",147,4,false
7,FAST,37,6,2,585,1435,"Gamble",150,7,false
7,FAST,39,6,2,535,1435,"Hmmm....",173,3,false
7,FAST,41,6,2,485,1435,"Risky",126,4,false
7,FAST,43,6,2,435,1435,"Hmmm....",122,6,true
7,FAST,44,6,2,557,1557,"Hmmm....",133,7,true
7,FAST,45,6,2,690,1690,"Gamble",104,7,true
7,FAST,46,6,2,794,1794,"Rather detrimental",125,7,true
7,FAST,47,6,2,919,1919,"Hmmm....",117,7,true
7,FAST,48,6,2,1036,2036,"Quite likely",133,4,false
8,FAST,0,0,3,0,0,"Risky",36,7,false
8,FAST,1,0,2,0,0,"Risky",21,6,true
8,FAST,2,0,2,21,21,"Gamble",66,7,true
8,FAST,3,0,2,87,87,"Hmmm....",26,4,true
8,FAST,5,1,2,13,113,"Rather detrimental",23,6,false
8,FAST,6,1,1,13,113,"Gamble",31,7,false
9,FAST,0,0,3,0,0,"Risky",27,7,true
9,FAST,1,0,3,27,27,"Hmmm....",62,6,false
9,FAST,2,0,2,27,27,"Rather detrimental",34,7,false
9,FAST,3,0,1,27,27,"Quite likely",34,4,true
9,FAST,5,0,2,11,61,"Piece of cake",7,3,true
9,FAST,6,0,2,18,68,"Quite likely",30,7,true
9,FAST,7,0,2,48,98,"Risky",30,7,false
9,FAST,8,0,1,48,98,"Quite likely",48,6,true
9,FAST,10,0,2,46,146,"Quite likely",24,4,false
9,FAST,11,0,1,46,146,"Hmmm....",9,7,true
9,FAST,13,0,2,5,155,"Piece of cake",59,3,true
9,FAST,14,0,2,64,214,"Hmmm....",69,7,false
9,FAST,16,0,2,14,214,"Hmmm....",35,6,true
9,FAST,17,0,2,49,249,"Hmmm....",47,7,false
9,FAST,18,0,1,49,249,"Gamble",148,3,false
10,NONE,0,0,3,0,0,"Quite likely",36,7,true
10,NONE,1,0,3,36,36,"Quite likely",26,6,true
10,NONE,2,0,3,62,62,"Quite likely",21,5,true
10,NONE,3,0,3,83,83,"Quite likely",9,4,true
10,NONE,4,0,3,92,92,"Gamble",86,3,true
10,NONE,5,0,3,178,178,"Quite likely",20,7,true
10,NONE,6,0,3,198,198,"Hmmm....",19,7,false
10,NONE,7,0,2,198,198,"Quite likely",28,7,true
10,NONE,8,0,2,226,226,"Quite likely",20,7,true
10,NONE,9,0,2,246,246,"Rather detrimental",61,5,false
10,NONE,11,0,2,196,246,"Risky",33,6,false
10,NONE,13,0,2,146,246,"Quite likely",69,6,true
10,NONE,14,0,2,215,315,"Quite likely",45,7,false
10,NONE,16,0,2,165,315,"Quite likely",29,5,true
10,NONE,17,0,2,194,344,"Quite likely",25,4,true
10,NONE,18,0,2,219,369,"Risky",69,3,true
10,NONE,19,0,2,288,438,"Gamble",29,7,false
10,NONE,21,0,2,238,438,"Hmmm....",74,4,true
10,NONE,22,0,2,312,512,"Gamble",57,7,true
10,NONE,23,0,2,369,569,"Hmmm....",56,7,false
10,NONE,25,0,2,319,569,"Piece of cake",99,4,true
10,NONE,26,0,2,418,668,"Piece of cake",64,4,true
10,NONE,27,0,2,482,732,"Risky",120,7,false
10,NONE,29,0,2,432,732,"Quite likely",111,6,true
10,NONE,30,0,2,543,843,"Gamble",111,4,true
10,NONE,31,0,2,654,954,"Gamble",116,7,false
10,NONE,33,0,2,604,954,"Hmmm....",94,7,true
10,NONE,34,0,2,698,1048,"Gamble",98,3,false
10,NONE,36,0,2,648,1048,"Quite likely",111,6,false
10,NONE,38,0,2,598,1048,"Risky",90,6,false
10,NONE,40,0,2,548,1048,"Risky",100,6,true
10,NONE,41,0,2,648,1148,"Quite likely",82,7,true
10,NONE,42,0,2,730,1230,"Rather detrimental",78,7,false
10,NONE,44,0,2,680,1230,"Quite likely",73,7,false
10,NONE,46,0,2,630,1230,"Risky",75,3,true
10,NONE,47,0,2,705,1305,"Gamble",108,3,false
10,NONE,49,0,2,655,1305,"Rather detrimental",82,6,true
11,NONE,0,0,3,0,0,"Hmmm....",64,7,false
11,NONE,1,0,2,0,0,"Hmmm....",29,6,true
11,NONE,2,0,2,29,29,"Hmmm....",15,6,true
11,NONE,3,0,2,44,44,"Rather detrimental",28,4,false
11,NONE,4,0,1,44,44,"Quite likely",10,3,true
11,NONE,6,0,2,4,54,"Sure thing",60,3,true
11,NONE,7,0,2,64,114,"Hmmm....",58,7,true
11,NONE,8,0,2,122,172,"Risky",26,6,false
11,NONE,10,0,2,72,172,"Quite likely",57,7,false
11,NONE,12,0,2,22,172,"Quite likely",25,6,false
11,NONE,13,0,1,22,172,"Sure thing",19,3,true
11,NONE,14,0,1,41,191,"Sure thing",47,7,true
11,NONE,16,0,2,38,238,"Quite likely",61,6,true
11,NONE,17,0,2,99,299,"Quite likely",36,5,true
11,NONE,18,0,2,135,335,"Gamble",30,7,false
11,NONE,20,0,2,85,335,"Gamble",148,3,false
11,NONE,22,0,2,35,335,"Quite likely",56,3,true
11,NONE,23,0,2,91,391,"Rather detrimental",128,3,false
11,NONE,25,0,2,41,391,"Quite likely",148,3,true
11,NONE,26,0,2,189,539,"Risky",161,3,true
11,NONE,27,0,2,350,700,"Rather detrimental",141,3,true
11,NONE,28,0,2,491,841,"Gamble",148,3,false
11,NONE,30,0,2,441,841,"Risky",129,3,true
11,NONE,31,0,2,570,970,"Rather detrimental",157,3,true
11,NONE,32,0,2,727,1127,"Gamble",110,6,true
11,NONE,33,0,2,837,1237,"Rather detrimental",129,3,true
11,NONE,34,0,2,966,1366,"Risky",82,7,true
11,NONE,35,0,2,1048,1448,"Rather detrimental",87,7,true
11,NONE,36,0,2,1135,1535,"Hmmm....",73,7,false
11,NONE,38,0,2,1085,1535,"Hmmm....",83,6,false
11,NONE,40,0,2,1035,1535,"Hmmm....",71,4,true
11,NONE,41,0,2,1106,1606,"Rather detrimental",90,7,false
11,NONE,43,0,2,1056,1606,"Hmmm....",96,6,true
11,NONE,44,0,2,1152,1702,"Hmmm....",71,5,true
11,NONE,45,0,2,1223,1773,"Rather detrimental",73,3,false
11,NONE,47,0,2,1173,1773,"Hmmm....",82,6,true
11,NONE,48,0,2,1255,1855,"Risky",73,3,false
12,NONE,0,0,3,0,0,"Gamble",37,7,false
12,NONE,1,0,2,0,0,"Risky",37,7,false
12,NONE,2,0,1,0,0,"Gamble",52,7,false
13,NONE,0,0,3,0,0,"Gamble",38,7,true
13,NONE,1,0,3,38,38,"Sure thing",5,6,true
13,NONE,2,0,3,43,43,"Sure thing",14,5,true
13,NONE,3,0,3,57,57,"Sure thing",16,4,true
13,NONE,4,0,3,73,73,"Hmmm....",24,7,true
13,NONE,5,0,3,97,97,"Hmmm....",18,7,false
13,NONE,6,0,2,97,97,"Piece of cake",57,4,true
13,NONE,7,0,2,154,154,"Rather detrimental",29,7,false
13,NONE,9,0,2,104,154,"Hmmm....",16,5,true
13,NONE,10,0,2,120,170,"Quite likely",33,6,true
13,NONE,11,0,2,153,203,"Quite likely",25,3,false
13,NONE,13,0,2,103,203,"Risky",27,7,false
13,NONE,15,0,2,53,203,"Risky",28,6,false
13,NONE,17,0,2,3,203,"Rather detrimental",52,4,true
13,NONE,18,0,2,55,255,"Gamble",49,5,false
13,NONE,20,0,2,5,255,"Hmmm....",33,6,true
13,NONE,21,0,2,38,288,"Quite likely",89,3,true
13,NONE,22,0,2,127,377,"Quite likely",100,7,false
13,NONE,24,0,2,77,377,"Piece of cake",75,4,true
13,NONE,25,0,2,152,452,"Piece of cake",53,4,true
13,NONE,26,0,2,205,505,"Rather detrimental",129,3,false
13,NONE,28,0,2,155,505,"Risky",97,7,false
13,NONE,30,0,2,105,505,"Rather detrimental",111,7,true
13,NONE,31,0,2,216,616,"Risky",164,3,true
13,NONE,32,0,2,380,780,"Rather detrimental",93,3,true
13,NONE,33,0,2,473,873,"Rather detrimental",153,3,false
13,NONE,35,0,2,423,873,"Gamble",110,6,false
13,NONE,37,0,2,373,873,"Risky",95,7,true
13,NONE,38,0,2,468,968,"Hmmm....",98,5,true
13,NONE,39,0,2,566,1066,"Hmmm....",89,4,true
13,NONE,40,0,2,655,1155,"Gamble",81,7,false
13,NONE,42,0,2,605,1155,"Hmmm....",88,4,false
13,NONE,44,0,2,555,1155,"Rather detrimental",80,7,true
13,NONE,45,0,2,635,1235,"Hmmm....",64,5,true
13,NONE,46,0,2,699,1299,"Gamble",70,7,true
13,NONE,47,0,2,769,1369,"Rather detrimental",95,7,false
13,NONE,49,0,2,719,1369,"Rather detrimental",53,6,false
14,NONE,0,0,3,0,0,"Gamble",67,7,false
14,NONE,1,0,2,0,0,"Risky",21,7,false
14,NONE,2,0,1,0,0,"Sure thing",1,5,true
14,NONE,3,0,1,1,1,"Sure thing",9,4,true
14,NONE,4,0,1,10,10,"Quite likely",53,7,true
14,NONE,6,0,2,13,63,"Hmmm....",19,6,false
14,NONE,7,0,1,13,63,"Quite likely",32,7,true
14,NONE,8,0,1,45,95,"Hmmm....",30,7,true
14,NONE,10,0,2,25,125,"Rather detrimental",31,6,false
14,NONE,11,0,1,25,125,"Gamble",27,6,true
14,NONE,13,0,2,2,152,"Hmmm....",21,3,false
14,NONE,14,0,1,2,152,"Gamble",43,7,true
14,NONE,15,0,1,45,195,"Rather detrimental",58,7,false
15,FAST,0,0,3,0,0,"Rather detrimental",34,7,true
15,FAST,1,0,3,34,34,"Gamble",20,6,false
15,FAST,2,0,2,34,34,"Hmmm....",7,5,true
15,FAST,3,0,2,41,41,"Sure thing",53,4,true
15,FAST,4,0,2,94,94,"Risky",10,7,true
15,FAST,6,1,2,4,104,"Sure thing",2,4,true
15,FAST,7,1,2,6,106,"Rather detrimental",31,7,false
15,FAST,8,1,1,6,106,"Quite likely",34,7,true
15,FAST,9,1,1,40,140,"Gamble",48,5,true
15,FAST,11,1,2,38,188,"Risky",28,6,false
15,FAST,12,1,1,38,188,"Risky",35,7,true
15,FAST,14,1,2,23,223,"Quite likely",42,7,false
15,FAST,15,1,1,23,223,"Quite likely",40,7,true
15,FAST,17,1,2,13,263,"Quite likely",24,4,true
15,FAST,18,1,2,37,287,"Gamble",39,3,true
15,FAST,19,1,2,76,326,"Hmmm....",150,3,true
15,FAST,22,3,2,26,476,"Gamble",74,5,false
15,FAST,23,3,1,26,476,"Risky",90,7,false
16,FAST,0,0,3,0,0,"Risky",11,7,false
16,FAST,1,0,2,0,0,"Gamble",30,6,false
16,FAST,2,0,1,0,0,"Gamble",14,6,true
16,FAST,3,0,1,14,14,"Sure thing",55,7,true
16,FAST,5,0,2,19,69,"Piece of cake",5,4,true
16,FAST,6,0,2,24,74,"Gamble",56,7,true
16,FAST,7,0,2,80,130,"Hmmm....",25,7,false
16,FAST,9,0,2,30,130,"Gamble",45,5,true
16,FAST,10,0,2,75,175,"Sure thing",44,4,true
16,FAST,12,1,2,19,219,"Hmmm....",27,6,false
16,FAST,13,1,1,19,219,"Piece of cake",68,4,true
16,FAST,15,1,2,37,287,"Hmmm....",44,6,true
16,FAST,16,1,2,81,331,"Hmmm....",28,5,true
16,FAST,18,2,2,9,359,"Risky",30,3,false
16,FAST,19,2,1,9,359,"Gamble",35,7,true
16,FAST,20,2,1,44,394,"Quite likely",67,3,true
16,FAST,22,2,2,61,461,"Hmmm....",158,3,false
16,FAST,24,2,2,11,461,"Risky",148,3,false
16,FAST,25,2,1,11,461,"Sure thing",134,5,true
16,FAST,27,2,2,95,595,"Piece of cake",74,4,true
16,FAST,29,3,2,69,669,"Quite likely",42,6,true
16,FAST,31,4,2,11,711,"Gamble",122,7,false
16,FAST,32,4,1,11,711,"Risky",206,3,true
16,FAST,35,5,2,67,917,"Hmmm....",136,5,false
16,FAST,37,5,2,17,917,"Hmmm....",129,4,true
16,FAST,39,6,2,46,1046,"Hmmm....",108,4,true
16,FAST,40,6,2,154,1154,"Quite likely",139,7,true
16,FAST,41,6,2,293,1293,"Hmmm....",141,7,true
16,FAST,42,6,2,434,1434,"Gamble",131,6,true
16,FAST,43,6,2,565,1565,"Hmmm....",157,7,false
16,FAST,45,6,2,515,1565,"Risky",133,7,false
16,FAST,47,6,2,465,1565,"Piece of cake",109,3,true
16,FAST,48,6,2,574,1674,"Walk in the park",122,3,true
16,FAST,49,6,2,696,1796,"Risky",93,7,true
17,FAST,0,0,3,0,0,"Gamble",73,7,true
17,FAST,1,0,3,73,73,"Hmmm....",38,6,true
17,FAST,3,1,3,11,111,"Gamble",29,6,false
17,FAST,4,1,2,11,111,"Hmmm....",36,3,true
17,FAST,5,1,2,47,147,"Sure thing",76,3,true
17,FAST,7,2,2,23,223,"Risky",12,7,true
17,FAST,8,2,2,35,235,"Hmmm....",83,6,false
17,FAST,9,2,1,35,235,"Hmmm....",29,5,true
17,FAST,11,2,2,14,264,"Gamble",78,6,true
17,FAST,12,2,2,92,342,"Sure thing",71,7,true
17,FAST,14,3,2,63,413,"Hmmm....",65,7,true
17,FAST,16,4,2,28,478,"Quite likely",49,6,true
17,FAST,17,4,2,77,527,"Quite likely",60,7,false
17,FAST,19,4,2,27,527,"Risky",57,6,true
17,FAST,20,4,2,84,584,"Rather detrimental",179,3,false
17,FAST,22,4,2,34,584,"Quite likely",45,3,false
17,FAST,23,4,1,34,584,"Gamble",155,7,false
18,FAST,0,0,3,0,0,"Hmmm....",48,7,true
18,FAST,1,0,3,48,48,"Gamble",16,7,true
18,FAST,2,0,3,64,64,"Hmmm....",37,5,true
18,FAST,4,1,3,1,101,"Rather detrimental",43,3,false
18,FAST,5,1,2,1,101,"Quite likely",40,7,false
18,FAST,6,1,1,1,101,"Hmmm....",9,7,true
18,FAST,7,1,1,10,110,"Risky",90,7,false
19,FAST,0,0,3,0,0,"Rather detrimental",35,7,true
19,FAST,1,0,3,35,35,"Quite likely",37,6,true
19,FAST,2,0,3,72,72,"Quite likely",25,5,true
19,FAST,3,0,3,97,97,"Quite likely",21,6,true
19,FAST,5,1,3,18,118,"Risky",38,6,false
19,FAST,6,1,2,18,118,"Quite likely",28,7,false
19,FAST,7,1,1,18,118,"Rather detrimental",31,7,true
19,FAST,8,1,1,49,149,"Rather detrimental",33,7,false
20,NONE,0,0,3,0,0,"Quite likely",39,7,false
20,NONE,1,0,2,0,0,"Quite likely",53,7,false
20,NONE,2,0,1,0,0,"Quite likely",30,5,true
20,NONE,3,0,1,30,30,"Rather detrimental",25,4,false
21,NONE,0,0,3,0,0,"Hmmm....",25,7,true
21,NONE,1,0,3,25,25,"Quite likely",27,6,true
21,NONE,2,0,3,52,52,"Quite likely",22,5,true
21,NONE,3,0,3,74,74,"Risky",15,7,false
21,NONE,4,0,2,74,74,"Quite likely",17,3,true
21,NONE,5,0,2,91,91,"Rather detrimental",24,7,true
21,NONE,6,0,2,115,115,"Hmmm....",28,7,false
21,NONE,8,0,2,65,115,"Risky",37,6,false
21,NONE,10,0,2,15,115,"Gamble",29,6,true
21,NONE,11,0,2,44,144,"Gamble",23,3,false
21,NONE,12,0,1,44,144,"Gamble",72,7,true
21,NONE,14,0,2,66,216,"Hmmm....",54,7,false
21,NONE,16,0,2,16,216,"Hmmm....",27,5,false
21,NONE,17,0,1,16,216,"Rather detrimental",29,5,false
22,NONE,0,0,3,0,0,"Gamble",35,7,true
22,NONE,1,0,3,35,35,"Rather detrimental",69,6,true
22,NONE,2,0,3,104,104,"Rather detrimental",28,7,true
22,NONE,3,0,3,132,132,"Rather detrimental",18,4,false
22,NONE,4,0,2,132,132,"Rather detrimental",28,7,false
22,NONE,6,0,2,82,132,"Walk in the park",26,4,true
22,NONE,7,0,2,108,158,"Hmmm....",31,7,false
22,NONE,9,0,2,58,158,"Gamble",10,6,true
22,NONE,10,0,2,68,168,"Hmmm....",27,4,true
22,NONE,11,0,2,95,195,"Gamble",21,7,true
22,NONE,12,0,2,116,216,"Piece of cake",47,7,true
22,NONE,13,0,2,163,263,"Piece of cake",49,6,true
22,NONE,14,0,2,212,312,"Gamble",60,7,false
22,NONE,16,0,2,162,312,"Rather detrimental",14,5,false
22,NONE,18,0,2,112,312,"Risky",73,3,true
22,NONE,19,0,2,185,385,"Piece of cake",34,5,true
22,NONE,20,0,2,219,419,"Hmmm....",63,7,false
22,NONE,22,0,2,169,419,"Gamble",66,7,true
22,NONE,23,0,2,235,485,"Sure thing",85,4,true
22,NONE,24,0,2,320,570,"Gamble",76,7,true
22,NONE,25,0,2,396,646,"Sure thing",124,3,true
22,NONE,26,0,2,520,770,"Walk in the park",59,3,true
22,NONE,27,0,2,579,829,"Walk in the park",78,3,true
22,NONE,28,0,2,657,907,"Walk in the park",98,3,true
22,NONE,29,0,2,755,1005,"Gamble",103,7,true
22,NONE,30,0,2,858,1108,"Risky",138,3,false
22,NONE,32,0,2,808,1108,"Risky",104,4,true
22,NONE,33,0,2,912,1212,"Quite likely",104,4,true
22,NONE,34,0,2,1016,1316,"Rather detrimental",159,3,false
22,NONE,36,0,2,966,1316,"Risky",101,6,true
22,NONE,37,0,2,1067,1417,"Risky",90,6,true
22,NONE,38,0,2,1157,1507,"Rather detrimental",97,7,true
22,NONE,39,0,2,1254,1604,"Risky",99,7,false
22,NONE,41,0,2,1204,1604,"Risky",78,3,true
22,NONE,42,0,2,1282,1682,"Risky",90,7,true
22,NONE,43,0,2,1372,1772,"Risky",78,4,false
22,NONE,45,0,2,1322,1772,"Gamble",72,6,false
22,NONE,47,0,2,1272,1772,"Gamble",85,6,false
22,NONE,49,0,2,1222,1772,"Gamble",49,7,true
23,NONE,0,0,3,0,0,"Hmmm....",28,7,false
23,NONE,1,0,2,0,0,"Gamble",19,7,true
23,NONE,2,0,2,19,19,"Quite likely",33,5,true
