game,arm,rewardArm,turn,level,lives,gold,score,tier,adId,message,reward,expiresIn,success
0,NONE,HIGH,19,0,2,100,300,"Walk in the park","RYiMI8Em","Escort Zoya Summerfield to pasture in Penmoore where they can meet with their long lost cat",77,6,true
0,NONE,LOW,20,0,2,177,377,"Suicide mission","umJ2YX9X","Help Quintillus Presley to write their biographical novel about their difficulties with a deranged weed",28,5,false
0,NONE,LOW,22,0,2,127,377,"Gamble","rqxrzKPi","Create an advertisement campaign for Seija Kingston to promote their weed based business",32,4,false
0,NONE,HIGH,24,0,2,77,377,"Gamble","9sdx5jKa","Help defending meadow in Lightdale from the intruders",110,4,false
0,NONE,NA,26,0,2,27,377,"Sure thing","19WiJtaj","Help defending peninsula in Highdean from the intruders",131,4,true
0,NONE,NA,27,0,2,158,508,"Sure thing","Yk1meLRm","Help defending pasture in Westscale from the intruders",108,7,true
0,NONE,NA,28,0,2,266,616,"Walk in the park","BtyV4bvP","Help defending peninsula in Towergill from the intruders",82,4,true
0,NONE,NA,29,0,2,348,698,"Piece of cake","y5PezrPJ","Help defending thrift shoppe in Snowscale from the intruders",107,7,true
0,NONE,NA,30,0,2,455,805,"Walk in the park","pUptUtVN","Help defending meadow in Ferncawl from the intruders",88,7,true
0,NONE,HIGH,31,0,2,543,893,"Piece of cake","0hFD42L2","Help defending village in Dovewatch from the intruders",101,7,true
0,NONE,NA,32,0,2,644,994,"Piece of cake","FmOakJyK","Help defending plains in Ravenwhyte from the intruders",94,6,true
0,NONE,HIGH,33,0,2,738,1088,"Playing with fire","twrSTNAL","Investigate Yakiv Pickering and find out their relation to the magic horse.",130,3,true
0,NONE,HIGH,34,0,2,868,1218,"Playing with fire","wrdlqXvd","Help defending meadow in Ridgebane from the intruders",81,6,false
0,NONE,HIGH,36,0,2,818,1218,"Hmmm....","STPdqxDs","Help defending steppe in Oldfire from the intruders",109,6,true
0,NONE,HIGH,37,0,2,927,1327,"Hmmm....","2wIgcQZV","Help defending thrift shoppe in Fallheart from the intruders",102,6,true
0,NONE,LOW,38,0,2,1029,1429,"Gamble","Wsr74wty","Help defending field in Redchester from the intruders",77,6,true
0,NONE,LOW,39,0,2,1106,1506,"Hmmm....","l9jrCOl0","Help defending village in Orrinham from the intruders",79,6,true
0,NONE,HIGH,40,0,2,1185,1585,"Gamble","CS0CAENf","Help defending peninsula in Voidshaw from the intruders",90,3,true
0,NONE,LOW,41,0,2,1275,1675,"Risky","qlb6Y7Be","Help defending steppe in Masonbane from the intruders",85,7,true
0,NONE,LOW,42,0,2,1360,1760,"Risky","1JtrNW1B","Help defending meadow in Towerhill from the intruders",72,7,true
0,NONE,HIGH,43,0,2,1432,1832,"Risky","JxPOEmWh","Help defending grassland in Eastdeen from the intruders",103,6,true
0,NONE,HIGH,44,0,2,1535,1935,"Suicide mission","YCnbdvuj","Help defending village in Dorndale from the intruders",85,6,false
0,NONE,HIGH,46,0,2,1485,1935,"Hmmm....","hmxfQwMv","Help defending thrift shoppe in Highloft from the intruders",90,3,true
0,NONE,NA,47,0,2,1575,2025,"Quite likely","4ePMLrLg","Help defending well in Westkeep from the intruders",82,7,true
0,NONE,LOW,48,0,2,1657,2107,"Rather detrimental","2yT2jGTZ","Help defending island in Fallloft from the intruders",49,6,true
0,NONE,LOW,49,0,2,1706,2156,"Suicide mission","onNaZiB1","Help defending well in Ravenmire from the intruders",51,7,true
1,FAST,LOW,0,0,3,0,0,"Risky","SfZO1gpg","Create an advertisement campaign for Fern Comstock to promote their horse based business",31,7,true
1,FAST,LOW,1,0,3,31,31,"Walk in the park","9s2QV7ER","Help Edvárd Gardner to sell an unordinary chariot on the local market",18,7,true
1,FAST,HIGH,2,0,3,49,49,"Piece of cake","YsT9cLnp","Help Photios Francis to reach an agreement with Léontine Millard on the matters of disputed beer mug",17,5,true
1,FAST,LOW,3,0,3,66,66,"Piece of cake","C6nJvjAo","Help Jung-sook Holly to clean their turnips",2,6,true
1,FAST,LOW,4,0,3,68,68,"Piece of cake","cwbm7SC2","Help Ela Chandler to fix their pan",7,3,true
1,FAST,LOW,5,0,3,75,75,"Sure thing","8KcnEoGU","Help Songül Davison to clean their pot",6,5,true
1,FAST,NA,6,0,3,81,81,"Sure thing","jZYCdhCK","Help Blair Shakesheave to clean their bucket",7,5,true
1,FAST,LOW,7,0,3,88,88,"Walk in the park","Gw0yZfA5","Help Barakat Attaway to transport a magic bucket to steppe in Orrinfirth",15,7,true
1,FAST,LOW,9,1,3,3,103,"Walk in the park","3jRU0pPR","Help Fritz Dickman to sell an unordinary horse on the local market",21,5,true
1,FAST,HIGH,10,1,3,24,124,"Walk in the park","hW5ItJWv","Steal house delivery to Ronit Hibbert and share some of the profits with the people.",81,7,true
1,FAST,LOW,12,2,3,5,205,"Piece of cake","0aV1VfcP","Help Tylar Boatwright to sell an unordinary wagon on the local market",24,3,true
1,FAST,LOW,13,2,3,29,229,"Piece of cake","hkDvwej6","Rescue Cerridwen Pettigrew from meadow in Scalemoore where they are attacked by angry pot",35,6,true
1,FAST,LOW,14,2,3,64,264,"Piece of cake","7e67NGlb","Create an advertisement campaign for Saqui Roberts to promote their potatoes based business",38,7,true
1,FAST,HIGH,16,3,3,2,302,"Gamble","4T1JqBfw","Create an advertisement campaign for Şehrazat Abrahams to promote their potatoes based business",37,5,true
1,FAST,HIGH,17,3,3,39,339,"Piece of cake","OXUoWkdU","Escort Frideswide Sowards to village in Masonpine where they can meet with their long lost chariot",60,3,true
1,FAST,LOW,18,3,3,99,399,"Quite likely","Dv80dRcl","Create an advertisement campaign for Khánh Honeycutt to promote their squirrel based business",31,7,false
1,FAST,HIGH,19,3,2,99,399,"Piece of cake","fubrYRFR","Create an advertisement campaign for Eustorgio Danniell to promote their water based business",46,6,true
1,FAST,LOW,21,4,2,45,445,"Sure thing","WRcMwgD2","Escort Baptiste Jónsson to savannah in Fallwater where they can meet with their long lost horse",81,7,true
1,FAST,LOW,23,5,2,26,526,"Hmmm....","kPHtuArx","Rescue Firmin Osbourne from steppe in Evercaster where they are attacked by angry potatoes",36,6,true
1,FAST,LOW,24,5,2,62,562,"Piece of cake","RTvsg2Ra","Rescue Matty Hightower from pasture in Newfire where they are attacked by angry potatoes",40,4,true
1,FAST,LOW,26,6,2,2,602,"Piece of cake","kut0H76d","Escort Vivyan Attwater to grassland in Greygill where they can meet with their long lost chariot",66,5,true
1,FAST,HIGH,27,6,2,68,668,"Piece of cake","JQ2GwSvN","Help defending meadow in Lowewater from the intruders",171,4,true
1,FAST,LOW,28,6,2,239,839,"Hmmm....","WH4Tm49Q","Rescue Olamide Hightower from steppe in Southton where they are attacked by angry dog",29,4,false
1,FAST,HIGH,30,6,2,189,839,"Sure thing","yXgYKmTy","Help defending meadow in Voidcaster from the intruders",173,6,true
1,FAST,LOW,31,6,2,362,1012,"Walk in the park","3asykyyf","Help defending plains in Penmountain from the intruders",146,5,true
1,FAST,LOW,32,6,2,508,1158,"Hmmm....","Fde1BjDS","Rescue Ainsley Porcher from pasture in Reddrone where they are attacked by angry bucket",43,3,false
1,FAST,HIGH,34,6,2,458,1158,"Quite likely","AM5z3vMx","Help defending meadow in Newhole from the intruders",160,4,false
1,FAST,LOW,36,6,2,408,1158,"Piece of cake","pp6foLJL","Help defending grassland in Fernwater from the intruders",139,6,true
1,FAST,LOW,37,6,2,547,1297,"Quite likely","JQ2Ue2l5","Help defending thrift shoppe in Ravengannon from the intruders",123,6,true
1,FAST,LOW,38,6,2,670,1420,"Piece of cake","hwkrheD6","Help defending steppe in Razorgill from the intruders",134,7,true
1,FAST,HIGH,39,6,2,804,1554,"Quite likely","vYmsBmYR","Help defending thrift shoppe in Thorngarden from the intruders",144,7,false
1,FAST,HIGH,41,6,2,754,1554,"Hmmm....","6RnA3Lwj","Help defending steppe in Redport from the intruders",126,7,false
1,FAST,LOW,43,6,2,704,1554,"Quite likely","AImmX2ow","Help defending grassland in Burnsmountain from the intruders",125,6,false
1,FAST,LOW,45,6,2,654,1554,"Walk in the park","bUFyY3qU","Help defending savannah in Redheart from the intruders",115,5,true
1,FAST,HIGH,46,6,2,769,1669,"Hmmm....","DNR7QOC0","Help defending rocky plains in Newbury from the intruders",139,7,true
1,FAST,HIGH,47,6,2,908,1808,"Hmmm....","DJJgKVXw","Help defending foggy riverside in Frostdean from the intruders",144,7,true
1,FAST,NA,48,6,2,1052,1952,"Piece of cake","IjF13qxv","Help defending island in Southdeen from the intruders",112,3,true
1,FAST,LOW,49,6,2,1164,2064,"Playing with fire","ovPrTxif","Help defending rocky plains in Towerfirth from the intruders",126,7,false
2,NONE,HIGH,0,0,3,0,0,"Piece of cake","YIN0qQrf","Steal water delivery to Simba Hamilton and share some of the profits with the people.",55,7,true
2,NONE,LOW,1,0,3,55,55,"Quite likely","74tEgiv8","Help Brutus Dickinson to transport a magic chariot to pasture in Strongsheen",11,6,false
2,NONE,LOW,2,0,2,55,55,"Piece of cake","0w6gGSkx","Help Eva Jónsson to clean their weed",5,6,true
2,NONE,LOW,3,0,2,60,60,"Piece of cake","334Rocmo","Help Šimo Ashworth to clean their horse",6,4,true
2,NONE,HIGH,4,0,2,66,66,"Piece of cake","wyO5FAdv","Escort Włodek Kingston to meadow in Northgannon where they can meet with their long lost water",59,6,true
2,NONE,NA,5,0,2,125,125,"Piece of cake","vhy038av","Create an advertisement campaign for Juliet Odson to promote their beer mug based business",34,4,true
2,NONE,NA,6,0,2,159,159,"Piece of cake","ZMRKDuYr","Steal horse delivery to Alysia Anthonyson and share some of the profits with the people.",68,7,true
2,NONE,HIGH,7,0,2,227,227,"Walk in the park","NPfQOFdo","Escort Kapel Osbourne to grassland in Frosthill where they can meet with their long lost horse",56,7,true
2,NONE,HIGH,8,0,2,283,283,"Gamble","jMdrQHrf","Escort Feidlimid Burrell to savannah in Sharpmire where they can meet with their long lost house",84,3,true
2,NONE,HIGH,9,0,2,367,367,"Hmmm....","B8lCK6IV","Escort Bambi Wilkinson to plains in Burnspool where they can meet with their long lost potatoes",51,7,true
2,NONE,HIGH,10,0,2,418,418,"Quite likely","3LeSyoVn","Steal cat delivery to Jaakob Anthonyson and share some of the profits with the people.",47,7,true
2,NONE,HIGH,11,0,2,465,465,"Piece of cake","2lu9czDO","Steal house delivery to Ekain Bullock and share some of the profits with the people.",51,4,true
2,NONE,LOW,12,0,2,516,516,"Piece of cake","kqwfJzHX","Steal water delivery to Cirila Thurstan and share some of the profits with the people.",46,7,true
2,NONE,HIGH,13,0,2,562,562,"Piece of cake","U5zpAVvY","Escort Derick William to plains in Masoncawl where they can meet with their long lost pan",59,6,true
2,NONE,LOW,14,0,2,621,621,"Piece of cake","4Ioos3fN","Create an advertisement campaign for Kaan Davidson to promote their squirrel based business",20,6,true
2,NONE,LOW,15,0,2,641,641,"Piece of cake","8VeQ91qJ","Help Eiríkr Hollins to sell an unordinary wagon on the local market",22,6,true
2,NONE,HIGH,16,0,2,663,663,"Piece of cake","C3FjNmP9","Escort Braeden Dickson to steppe in Dornhole where they can meet with their long lost bucket",58,5,true
2,NONE,HIGH,17,0,2,721,721,"Sure thing","GCkN3Xtq","Steal super awesome diamond wagon from Lebron Priestley",182,4,false
2,NONE,NA,19,0,2,671,721,"Sure thing","nwyoa4q6","Steal super awesome diamond pan from Rajiv Parsley",170,5,false
2,NONE,HIGH,21,0,2,621,721,"Walk in the park","cIMqwdlK","Steal super awesome diamond chariot from Sidney Orange",159,7,false
2,NONE,LOW,23,0,2,571,721,"Sure thing","aBkg5hpr","Steal super awesome diamond chariot from Zoi Suggitt",151,7,false
2,NONE,LOW,25,0,2,521,721,"Piece of cake","6aqafp9K","Help defending meadow in Newfirth from the intruders",114,6,true
2,NONE,HIGH,26,0,2,635,835,"Sure thing","rpyvMomO","Steal super awesome diamond cat from Élisabeth Bircann",182,6,false
2,NONE,HIGH,28,0,2,585,835,"Walk in the park","85YkTi5I","Help defending village in Razorham from the intruders",109,6,true
2,NONE,LOW,29,0,2,694,944,"Sure thing","A6IxZGJq","Help defending thrift shoppe in Northseed from the intruders",107,7,true
2,NONE,NA,30,0,2,801,1051,"Sure thing","GV0mYCUe","Steal super awesome diamond bucket from Ioseph Turnbull",169,5,false
2,NONE,HIGH,32,0,2,751,1051,"Hmmm....","Myj2rRYE","Investigate Esaias Beverley and find out their relation to the magic pot.",132,3,true
2,NONE,LOW,33,0,2,883,1183,"Piece of cake","deGiKxBH","Help defending peninsula in Dornwhyte from the intruders",106,7,true
2,NONE,HIGH,34,0,2,989,1289,"Suicide mission","NCb4d9rr","Investigate Keavy Jakeman and find out their relation to the magic sheep.",147,3,false
2,NONE,LOW,36,0,2,939,1289,"Piece of cake","iOqNHhZj","Help defending grassland in Ridgescale from the intruders",82,7,true
2,NONE,LOW,37,0,2,1021,1371,"Hmmm....","dU2ZSPTY","Help defending village in Burnsfirth from the intruders",83,7,false
2,NONE,HIGH,39,0,2,971,1371,"Quite likely","0am6Gkfr","Help defending village in Burnsville from the intruders",101,5,true
2,NONE,HIGH,40,0,2,1072,1472,"Rather detrimental","jtKKv2Rn","Help defending plains in Southdinny from the intruders",105,3,false
2,NONE,LOW,42,0,2,1022,1472,"Rather detrimental","5SeLkF2x","Help defending peninsula in Ridgetown from the intruders",70,5,false
2,NONE,HIGH,44,0,2,972,1472,"Rather detrimental","CnaAN9xF","Help defending church in Scalebane from the intruders",99,7,false
2,NONE,HIGH,46,0,2,922,1472,"Suicide mission","Exdk6Gcq","Help defending field in Burnsspring from the intruders",97,3,false
2,NONE,HIGH,48,0,2,872,1472,"Playing with fire","hdr7T7U8","Help defending well in Penpool from the intruders",80,5,false
3,FAST,LOW,0,0,3,0,0,"Walk in the park","8AgbOxwW","Help Ælfgar Jernigan to clean their pot",3,7,true
3,FAST,LOW,1,0,3,3,3,"Piece of cake","7M3Ugn3W","Help Priscila Chapman to fix their dog",1,7,true
3,FAST,HIGH,2,0,3,4,4,"Piece of cake","g8sr1VRc","Steal chariot delivery to Chloe Thomson and share some of the profits with the people.",48,5,true
3,FAST,HIGH,3,0,3,52,52,"Quite likely","gs0jb3fr","Create an advertisement campaign for Eun-jeong Franklin to promote their house based business",34,4,true
3,FAST,HIGH,4,0,3,86,86,"Piece of cake","2mk3Xxtd","Create an advertisement campaign for Jaromir Akerman to promote their horse based business",32,3,true
3,FAST,HIGH,6,1,3,18,118,"Sure thing","Y4d4x3je","Help Ratimir Thornton to transport a magic cat to meadow in Metalmoore",13,5,true
3,FAST,LOW,7,1,3,31,131,"Piece of cake","l3yVezjG","Help Jürgen Sackville to transport a magic beer mug to steppe in Lightmoore",13,7,true
3,FAST,LOW,8,1,3,44,144,"Piece of cake","p0kM4cSG","Help Róża Imore to sell an unordinary turnips on the local market",15,4,true
3,FAST,LOW,9,1,3,59,159,"Piece of cake","ZLncEqJE","Help Tatum Bloxham to transport a magic pot to grassland in Blooddean",22,6,true
3,FAST,LOW,10,1,3,81,181,"Walk in the park","uxUR2PZR","Help Pierino Sampson to transport a magic sheep to peninsula in Strongbury",23,6,true
3,FAST,HIGH,12,2,3,4,204,"Sure thing","GwxiN0pr","Steal squirrel delivery to Eliana Franklyn and share some of the profits with the people.",65,6,true
3,FAST,HIGH,13,2,3,69,269,"Walk in the park","8mdjnmYe","Steal beer mug delivery to Krešimir Derrick and share some of the profits with the people.",67,4,true
3,FAST,HIGH,15,3,3,36,336,"Quite likely","SijLrnZ1","Help Cilka Jameson to write their biographical novel about their difficulties with a deranged water",60,6,true
3,FAST,LOW,16,3,3,96,396,"Sure thing","jxcriyTF","Rescue Shifra Richards from grassland in Highshore where they are attacked by angry horse",38,5,true
3,FAST,LOW,18,4,3,34,434,"Piece of cake","BkEWUsZW","Rescue Aramis Soames from peninsula in Greydale where they are attacked by angry bucket",38,3,false
3,FAST,HIGH,19,4,2,34,434,"Sure thing","f1py0vwZ","Escort Gerlind Bircann to grassland in Scalecawl where they can meet with their long lost beer mug",49,4,true
3,FAST,HIGH,20,4,2,83,483,"Hmmm....","HZe8rriW","Investigate Tomos Ellsworth and find out their relation to the magic house.",186,3,true
3,FAST,LOW,23,6,2,69,669,"Walk in the park","JSbX7INz","Escort Terra Baldwin to savannah in Eastshaw where they can meet with their long lost chicken",101,5,false
3,FAST,HIGH,25,6,2,19,669,"Walk in the park","17FxrMn5","Help defending village in Ridgeshaw from the intruders",173,5,true
3,FAST,NA,26,6,2,192,842,"Piece of cake","uaNpgbEb","Rescue Alpha Walterson from steppe in Everdean where they are attacked by angry pan",42,5,true
3,FAST,LOW,27,6,2,234,884,"Walk in the park","g6oyBNrj","Escort Ji-hu Scriven to savannah in Greykeep where they can meet with their long lost turnips",82,4,false
3,FAST,HIGH,29,6,2,184,884,"Walk in the park","12oV5EJd","Help defending pasture in Northpeak from the intruders",160,5,true
3,FAST,HIGH,30,6,2,344,1044,"Quite likely","bNlaiPZ9","Investigate Ewan Cummins and find out their relation to the magic chicken.",203,3,true
3,FAST,LOW,31,6,2,547,1247,"Gamble","2KyQ4AYL","Help defending thrift shoppe in Towerfire from the intruders",138,7,true
3,FAST,HIGH,32,6,2,685,1385,"Quite likely","XzPHJGxi","Help defending village in Everkeep from the intruders",162,5,true
3,FAST,LOW,33,6,2,847,1547,"Gamble","2zIfOGID","Help defending thrift shoppe in Metalshaw from the intruders",192,4,true
3,FAST,HIGH,34,6,2,1039,1739,"Quite likely","Jk4VyRds","Help defending village in Whitesheen from the intruders",160,6,true
3,FAST,LOW,35,6,2,1199,1899,"Quite likely","xoj1J0t6","Help defending plains in Towercrest from the intruders",128,3,true
3,FAST,LOW,36,6,2,1327,2027,"Walk in the park","hqPEnb1Z","Help defending village in Fernbury from the intruders",106,7,true
3,FAST,HIGH,37,6,2,1433,2133,"Piece of cake","PsEr3A2K","Help defending meadow in Fallfirth from the intruders",173,4,true
3,FAST,HIGH,38,6,2,1606,2306,"Piece of cake","mN5LWoCs","Help defending thrift shoppe in Millerchester from the intruders",160,4,true
3,FAST,HIGH,39,6,2,1766,2466,"Piece of cake","vUqsFHE8","Help defending village in Darkburg from the intruders",157,3,true
3,FAST,HIGH,40,6,2,1923,2623,"Piece of cake","dLGNNAog","Help defending grassland in Pencaster from the intruders",146,5,true
3,FAST,LOW,41,6,2,2069,2769,"Piece of cake","OyniFApd","Help defending savannah in Fangpeak from the intruders",128,6,true
3,FAST,LOW,42,6,2,2197,2897,"Risky","BOgXvNZO","Help defending meadow in Redpine from the intruders",144,7,true
3,FAST,HIGH,43,6,2,2341,3041,"Quite likely","b3yPD3eL","Help defending meadow in Millermire from the intruders",141,6,true
3,FAST,HIGH,44,6,2,2482,3182,"Quite likely","dDWsZVEu","Help defending grassland in Towerloft from the intruders",125,6,true
3,FAST,LOW,45,6,2,2607,3307,"Risky","JHzd2Siw","Help defending woodland in Dovehole from the intruders",133,7,false
3,FAST,HIGH,47,6,2,2557,3307,"Gamble","hQk8RD2A","Help defending hill in Strongmere from the intruders",133,4,true
3,FAST,LOW,48,6,2,2690,3440,"Playing with fire","BSMzDmtJ","Help defending island in Dorncaster from the intruders",106,7,false
4,NONE,LOW,0,0,3,0,0,"Piece of cake","8LhkyH2e","Help Aliz Trueman to clean their turnips",1,7,true
4,NONE,HIGH,1,0,3,1,1,"Piece of cake","3Z9hFMNP","Steal weed delivery to Durai Richardson and share some of the profits with the people.",65,6,true
4,NONE,LOW,2,0,3,66,66,"Piece of cake","bW4AjTGB","Help Cleena Caulfield to clean their chicken",8,5,true
4,NONE,LOW,3,0,3,74,74,"Sure thing","7ugXpyMh","Help Leda Patterson to clean their chariot",4,6,true
4,NONE,LOW,4,0,3,78,78,"Quite likely","7X1xoipp","Create an advertisement campaign for Margarit Branson to promote their house based business",29,7,false
4,NONE,LOW,5,0,2,78,78,"Sure thing","z3MIVfCO","Help Mladenka Brandon to reach an agreement with Desideratus Savidge on the matters of disputed potatoes",14,5,true
4,NONE,NA,6,0,2,92,92,"Sure thing","zthwHBKw","Steal water delivery to Awiti Cartwright and share some of the profits with the people.",52,7,true
4,NONE,HIGH,7,0,2,144,144,"Hmmm....","upFLmqTp","Create an advertisement campaign for Vivi Clemens to promote their pot based business",29,7,false
4,NONE,HIGH,9,0,2,94,144,"Walk in the park","SO8pmS7f","Help Koraljka Jamison to reach an agreement with Eutímio Hollands on the matters of disputed bucket",19,5,true
4,NONE,LOW,10,0,2,113,163,"Rather detrimental","yDY1UIPi","Create an advertisement campaign for Christobel Spearing to promote their chicken based business",28,4,true
4,NONE,LOW,11,0,2,141,191,"Gamble","ijtumdvu","Create an advertisement campaign for Dores Colbert to promote their weed based business",26,7,true
4,NONE,LOW,12,0,2,167,217,"Piece of cake","Olruq7dP","Help Klára Honeycutt to sell an unordinary water on the local market",23,5,true
4,NONE,NA,13,0,2,190,240,"Piece of cake","5zY2tV9q","Create an advertisement campaign for Egbert Roderick to promote their horse based business",34,6,true
4,NONE,LOW,14,0,2,224,274,"Gamble","tkl6B0yQ","Create an advertisement campaign for Terezie Goddard to promote their bucket based business",29,7,false
4,NONE,HIGH,16,0,2,174,274,"Risky","V8Blg8qJ","Escort Dieudonné Isaacson to grassland in Highwater where they can meet with their long lost wagon",80,5,false
4,NONE,HIGH,18,0,2,124,274,"Quite likely","lGenoIjk","Escort Adoniram Kjartansdóttir to grassland in Razormountain where they can meet with their long lost clothes",61,6,true
4,NONE,HIGH,19,0,2,185,335,"Walk in the park","iFMmmXJB","Steal weed delivery to Caratacos Murgatroyd and share some of the profits with the people.",58,3,true
4,NONE,LOW,20,0,2,243,393,"Walk in the park","sPSeJqVA","Create an advertisement campaign for Jeanne Holland to promote their potatoes based business",31,6,true
4,NONE,HIGH,21,0,2,274,424,"Walk in the park","hDSXJYYj","Escort Shufen Christians to meadow in Scalewatch where they can meet with their long lost clothes",78,7,true
4,NONE,HIGH,22,0,2,352,502,"Walk in the park","XO2Gz5XB","Escort Małgosia Rowland to savannah in Lightgannon where they can meet with their long lost horse",72,5,true
4,NONE,HIGH,23,0,2,424,574,"Walk in the park","aaN9noDN","Escort Haru Traylor to pasture in Newham where they can meet with their long lost sheep",57,5,true
4,NONE,LOW,24,0,2,481,631,"Rather detrimental","NHOU3eLM","Investigate U-jin Ericson and find out their relation to the magic turnips.",109,3,true
4,NONE,NA,25,0,2,590,740,"Piece of cake","knwSuDhs","Help defending peninsula in Thorndeen from the intruders",96,7,true
4,NONE,HIGH,26,0,2,686,836,"Piece of cake","iVT6J8Uj","Help defending pasture in Evershaw from the intruders",124,7,true
4,NONE,HIGH,27,0,2,810,960,"Piece of cake","Z1XxrgQq","Help defending grassland in Westshore from the intruders",115,6,true
4,NONE,LOW,28,0,2,925,1075,"Piece of cake","5Bg4yODE","Help defending field in Eastloft from the intruders",87,7,true
4,NONE,LOW,29,0,2,1012,1162,"Suicide mission","dF7NWZKY","Investigate Dancho Ecclestone and find out their relation to the magic potatoes.",143,3,false
4,NONE,NA,31,0,2,962,1162,"Piece of cake","LC41ujAA","Help defending grassland in Strongmountain from the intruders",97,6,true
4,NONE,NA,32,0,2,1059,1259,"Quite likely","VWnlRpI0","Help defending meadow in Whitefirth from the intruders",113,3,true
4,NONE,NA,33,0,2,1172,1372,"Quite likely","tRP8uLCk","Help defending thrift shoppe in Lowemire from the intruders",120,7,true
4,NONE,HIGH,34,0,2,1292,1492,"Quite likely","Nw4sOh7z","Help defending savannah in Fallwatch from the intruders",99,7,true
4,NONE,HIGH,35,0,2,1391,1591,"Gamble","ToHZVUca","Help defending pasture in Highsheen from the intruders",106,7,false
4,NONE,HIGH,37,0,2,1341,1591,"Quite likely","4VzYz661","Help defending peninsula in Newshore from the intruders",105,6,true
4,NONE,HIGH,38,0,2,1446,1696,"Quite likely","XDvQ35ab","Help defending plains in Strongloft from the intruders",110,7,false
4,NONE,NA,40,0,2,1396,1696,"Sure thing","cYTF54Q2","Help defending pasture in Bleakloft from the intruders",83,3,true
4,NONE,LOW,41,0,2,1479,1779,"Risky","p2KlQwQW","Help defending plains in Metalkeep from the intruders",81,7,true
4,NONE,LOW,42,0,2,1560,1860,"Hmmm....","FjI1aMCI","Help defending savannah in Fallville from the intruders",74,4,true
4,NONE,HIGH,43,0,2,1634,1934,"Walk in the park","sZz5H3FF","Help defending field in Razorbury from the intruders",97,3,true
4,NONE,HIGH,44,0,2,1731,2031,"Risky","E2eSWiYT","Help defending village in Ferngannon from the intruders",94,5,false
4,NONE,HIGH,46,0,2,1681,2031,"Gamble","zbEgawyy","Help defending grassland in Fallfire from the intruders",88,3,true
4,NONE,HIGH,47,0,2,1769,2119,"Suicide mission","zbaiDNeM","Help defending thicket in Westwhyte from the intruders",72,7,true
4,NONE,HIGH,48,0,2,1841,2191,"Gamble","Kjg3KgRy","Help defending woodland in Scalespring from the intruders",72,3,false
5,FAST,HIGH,0,0,3,0,0,"Piece of cake","79r9j4Ye","Escort Reuven Rowntree to village in Northpeak where they can meet with their long lost house",83,7,true
5,FAST,LOW,1,0,3,83,83,"Piece of cake","HArzgXPa","Help Gaëtane Pierson to reach an agreement with Gabriël Belcher on the matters of disputed wagon",7,6,true
5,FAST,HIGH,2,0,3,90,90,"Piece of cake","SygkGlyr","Create an advertisement campaign for Dee Kynaston to promote their beer mug based business",34,5,true
5,FAST,LOW,4,1,3,24,124,"Hmmm....","BOekPgcL","Help Varghese Hallgrímsson to transport a magic pan to thrift shoppe in Greypeak",15,5,true
